source	SYMBOL	GENEID	DB_ID	NS-SCORE	NWS-SCORE	ND-SCORE	NWD-SCORE	Z-SCORE	WEIGHT FACTOR	RATIO	AVE. APSM	FOUND IN	DESCRIPTION
293T_HA-HERC2_F1_Exp2	AGAP3	116988	sp|Q96P47-2|AGAP3_HUMAN	0.83	0.75	3.5	3	6.13	1	2/191	1	2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
293T_HA-HERC2_F1_Exp2	KIF20A	10112	sp|O95235|KI20A_HUMAN	1.28	1.17	3.43	2.94	8.31	1	5/191	6	2	kinesin family member 20A
293T_HA-HERC2_F1_Exp2	HERC1	8925	sp|Q15751|HERC1_HUMAN	1.01	0.92	3.03	2.6	2.13	1	4/191	3	2	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1
293T_HA-HERC2_F1_Exp2	TBK1	29110	sp|Q9UHD2|TBK1_HUMAN	0.88	0.91	2	2.19	2.76	1.28	7/191	4	2	TANK-binding kinase 1
293T_HA-HERC2_F1_Exp2	MKI67	4288	sp|P46013-2|KI67_HUMAN	1.13	1.26	1.69	2.16	10.18	1.49	16/191	15	2	antigen identified by monoclonal antibody Ki-67
293T_HA-HERC2_F1_Exp2	KIAA0562	9731	sp|O60308|CE104_HUMAN	0.83	0.75	2.47	2.12	10.37	1	4/191	2	2	KIAA0562
293T_HA-HERC2_F1_Exp2	TUBA1C	84790	sp|Q9BQE3|TBA1C_HUMAN	1.53	1.39	2.45	2.1	2.57	1	14/191	24	2	tubulin, alpha 1c
293T_HA-HERC2_F1_Exp2	ZBTB5	9925	sp|O15062|ZBTB5_HUMAN	0.91	0.82	2.42	2.08	4.69	1	5/191	3	2	zinc finger and BTB domain containing 5
293T_HA-HERC2_F1_Exp2	SUGP2	10147	sp|Q8IX01-3|SUGP2_HUMAN	0.67	0.61	2.33	2	8.17	1	3/191	1	2	SURP and G patch domain containing 2
293T_HA-HERC2_F1_Exp2	KIF22	3835	sp|Q14807|KIF22_HUMAN	0.67	0.61	2.33	2	8.17	1	3/191	1	2	kinesin family member 22
293T_HA-HERC2_F1_Exp2	KIAA0889	140710	sp|O94964-2|K0889_HUMAN	0.74	0.67	1.98	1.7	6.29	1	5/191	2	2	KIAA0889
293T_HA-HERC2_F1_Exp2	HLA-A	3105	sp|P04439|1A03_HUMAN	0.74	0.67	1.98	1.7	5.39	1	5/191	2	2	major histocompatibility complex, class I, A
293T_HA-HERC2_F1_Exp2	NEURL4	84461	sp|Q96JN8-2|NEUL4_HUMAN	0.72	0.71	1.52	1.53	1.21	1.18	8/191	3	2	neuralized homolog 4 (Drosophila)
293T_HA-HERC2_F1_Exp2	COMMD8	54951	sp|Q9NX08|COMD8_HUMAN	0.58	0.53	1.75	1.5	2.57	1	4/191	1	2	COMM domain containing 8
293T_HA-HERC2_F1_Exp2	SLC27A2	11001	sp|O14975|S27A2_HUMAN	0.58	0.53	1.75	1.5	5.11	1	4/191	1	2	solute carrier family 27 (fatty acid transporter), member 2
293T_HA-HERC2_F1_Exp2	CLN6	54982	sp|Q9NWW5|CLN6_HUMAN	0.58	0.53	1.75	1.5	3.1	1	4/191	1	2	ceroid-lipofuscinosis, neuronal 6, late infantile, variant
293T_HA-HERC2_F1_Exp2	VSIG7	390531	sp|A6NDP1|VSIG7_HUMAN	0.58	0.53	1.75	1.5	7	1	4/191	1	2	V-set and immunoglobulin domain containing 7
293T_HA-HERC2_F1_Exp2	CEP170	9859	sp|Q5SW79-2|CE170_HUMAN	0.44	0.53	1	1.47	0.1	1.71	7/191	1	2	centrosomal protein 170kDa
293T_HA-HERC2_F1_Exp2	TUBB1	81027	sp|Q9H4B7|TBB1_HUMAN	0.95	0.87	1.65	1.41	2.03	1	12/191	8	2	tubulin, beta 1
293T_HA-HERC2_F1_Exp2	TUBGCP2	10844	sp|Q9BSJ2|GCP2_HUMAN	0.52	0.48	1.4	1.2	3.69	1	5/191	1	2	tubulin, gamma complex associated protein 2
293T_HA-HERC2_F1_Exp2	MLF2	8079	sp|Q15773|MLF2_HUMAN	0.44	0.48	1	1.2	0.9	1.4	7/191	1	2	myeloid leukemia factor 2
293T_HA-HERC2_F1_Exp2	HLA-C	3107	sp|Q29963|1C06_HUMAN	0.67	0.61	1.35	1.15	4.14	1	9/191	3	2	major histocompatibility complex, class I, C
293T_HA-HERC2_F1_Exp2	FDFT1	2222	sp|P37268|FDFT_HUMAN	0.64	0.58	1.21	1.04	3.31	1	10/191	3	2	farnesyl-diphosphate farnesyltransferase 1
293T_HA-HERC2_F1_Exp2	ACSL3	2181	sp|O95573|ACSL3_HUMAN	0.64	0.58	1.21	1.04	5.43	1	10/191	3	2	acyl-CoA synthetase long-chain family member 3
293T_HA-HERC2_F1_Exp2	HPS6	79803	sp|Q86YV9|HPS6_HUMAN	0.48	0.43	1.17	1	5.71	1	6/191	1	2	Hermansky-Pudlak syndrome 6
293T_HA-HERC2_F1_Exp2	ZDHHC17	23390	sp|Q8IUH5-2|ZDH17_HUMAN	0.48	0.43	1.17	1	2.41	1	6/191	1	2	zinc finger, DHHC-type containing 17
293T_HA-HERC2_F1_Exp2	CLU	1191	sp|P10909-2|CLUS_HUMAN	0.48	0.43	1.17	1	4.57	1	6/191	1	2	clusterin
293T_HA-HERC2_F1_Exp3	HERC2	8924	sp|O95714|HERC2_HUMAN	8.96	9.69	18.99	22.96	13.13	1.41	8/191	471	2	hect domain and RLD 2
293T_HA-HERC2_F1_Exp3	UHMK1	127933	sp|Q8TAS1|UHMK1_HUMAN	1.17	1.06	7	6	14.14	1	1/191	1	2	U2AF homology motif (UHM) kinase 1
293T_HA-HERC2_F1_Exp3	CCDC22	28952	sp|O60826|CCD22_HUMAN	2.19	1.99	6.55	5.61	8.3	1	4/191	14	2	coiled-coil domain containing 22
293T_HA-HERC2_F1_Exp3	NCAPD3	23310	sp|P42695|CNDD3_HUMAN	1.43	1.3	6.06	5.2	11.42	1	2/191	3	2	non-SMC condensin II complex, subunit D3
293T_HA-HERC2_F1_Exp3	WWOX	51741	sp|Q9NZC7-2|WWOX_HUMAN	1.43	1.3	6.06	5.2	9.58	1	2/191	3	2	WW domain containing oxidoreductase
293T_HA-HERC2_F1_Exp3	HERC1	8925	sp|Q15751|HERC1_HUMAN	1.75	1.6	5.25	4.5	6.64	1	4/191	9	2	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1
293T_HA-HERC2_F1_Exp3	LTN1	26046	sp|O94822|LTN1_HUMAN	1.17	1.06	4.95	4.24	12.38	1	2/191	2	2	listerin E3 ubiquitin protein ligase 1
293T_HA-HERC2_F1_Exp3	TOMM22	56993	sp|Q9NS69|TOM22_HUMAN	1.17	1.06	4.95	4.24	12.38	1	2/191	2	2	translocase of outer mitochondrial membrane 22 homolog (yeast)
293T_HA-HERC2_F1_Exp3	USP16	10600	sp|Q9Y5T5-2|UBP16_HUMAN	1.17	1.06	4.95	4.24	9.9	1	2/191	2	2	ubiquitin specific peptidase 16
293T_HA-HERC2_F1_Exp3	ABCB6	10058	sp|Q9NP58-4|ABCB6_HUMAN	1.17	1.06	4.95	4.24	12.38	1	2/191	2	2	ATP-binding cassette, sub-family B (MDR/TAP), member 6
293T_HA-HERC2_F1_Exp3	KIRREL	55243	sp|Q96J84-2|KIRR1_HUMAN	1.17	1.06	4.95	4.24	9.9	1	2/191	2	2	kin of IRRE like (Drosophila)
293T_HA-HERC2_F1_Exp3	COMMD4	54939	sp|Q9H0A8|COMD4_HUMAN	1.35	1.23	4.67	4	8.4	1	3/191	4	2	COMM domain containing 4
293T_HA-HERC2_F1_Exp3	SLC25A4	291	sp|P12235|ADT1_HUMAN	1.57	1.45	4.2	3.71	8.14	1.03	5/191	9	2	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4
293T_HA-HERC2_F1_Exp3	C10orf118	55088	sp|Q7Z3E2|CJ118_HUMAN	1.43	1.3	4.29	3.67	8.84	1	4/191	6	2	chromosome 10 open reading frame 118
293T_HA-HERC2_F1_Exp3	RNGTT	8732	sp|O60942-2|MCE1_HUMAN	1.31	1.19	3.91	3.35	10.98	1	4/191	5	2	RNA guanylyltransferase and 5'-phosphatase
293T_HA-HERC2_F1_Exp3	EME1	146956	sp|Q96AY2-2|EME1_HUMAN	1.31	1.19	3.91	3.35	6.1	1	4/191	5	2	essential meiotic endonuclease 1 homolog 1 (S. pombe)
293T_HA-HERC2_F1_Exp3	COMMD3	23412	sp|Q9UBI1|COMD3_HUMAN	1.17	1.06	3.5	3	10.68	1	4/191	4	2	COMM domain containing 3
293T_HA-HERC2_F1_Exp3	RAB18	22931	sp|Q9NP72|RAB18_HUMAN	0.83	0.75	3.5	3	9.9	1	2/191	1	2	RAB18, member RAS oncogene family
293T_HA-HERC2_F1_Exp3	COMMD8	54951	sp|Q9NX08|COMD8_HUMAN	1.17	1.06	3.5	3	10.68	1	4/191	4	2	COMM domain containing 8
293T_HA-HERC2_F1_Exp3	RAB2A	5862	sp|P61019|RAB2A_HUMAN	0.83	0.75	3.5	3	9.9	1	2/191	1	2	RAB2A, member RAS oncogene family
293T_HA-HERC2_F1_Exp3	ZBTB5	9925	sp|O15062|ZBTB5_HUMAN	1.28	1.17	3.43	2.94	9.53	1	5/191	6	2	zinc finger and BTB domain containing 5
293T_HA-HERC2_F1_Exp3	HLA-E	3133	sp|P13747|HLAE_HUMAN	0.95	0.87	3.3	2.83	7.88	1	3/191	2	2	major histocompatibility complex, class I, E
293T_HA-HERC2_F1_Exp3	COMMD1	150684	sp|Q8N668|COMD1_HUMAN	0.95	0.87	3.3	2.83	7.3	1	3/191	2	2	copper metabolism (Murr1) domain containing 1
293T_HA-HERC2_F1_Exp3	GPX1	2876	sp|P07203|GPX1_HUMAN	0.95	0.87	3.3	2.83	11	1	3/191	2	2	glutathione peroxidase 1
293T_HA-HERC2_F1_Exp3	GRB7	2886	sp|Q14451|GRB7_HUMAN	0.95	0.87	3.3	2.83	7.3	1	3/191	2	2	growth factor receptor-bound protein 7
293T_HA-HERC2_F1_Exp3	NEURL4	84461	sp|Q96JN8-2|NEUL4_HUMAN	1.24	1.23	2.63	2.66	3.9	1.18	8/191	9	2	neuralized homolog 4 (Drosophila)
293T_HA-HERC2_F1_Exp3	TUBA1C	84790	sp|Q9BQE3|TBA1C_HUMAN	1.85	1.68	2.96	2.54	3.86	1	14/191	35	2	tubulin, alpha 1c
293T_HA-HERC2_F1_Exp3	EPHA7	2045	sp|Q15375-2|EPHA7_HUMAN	1.07	0.97	2.61	2.24	8.05	1	6/191	5	2	EPH receptor A7
293T_HA-HERC2_F1_Exp3	MUS81	80198	sp|Q96NY9|MUS81_HUMAN	0.83	0.75	2.47	2.12	2.41	1	4/191	2	2	MUS81 endonuclease homolog (S. cerevisiae)
293T_HA-HERC2_F1_Exp3	ARHGEF5	7984	sp|Q12774|ARHG5_HUMAN	0.83	0.75	2.47	2.12	3	1	4/191	2	2	Rho guanine nucleotide exchange factor (GEF) 5
293T_HA-HERC2_F1_Exp3	SLC25A18	83733	sp|Q9H1K4|GHC2_HUMAN	0.83	0.75	2.47	2.12	10.37	1	4/191	2	2	solute carrier family 25 (mitochondrial carrier), member 18
293T_HA-HERC2_F1_Exp3	GRIPAP1	56850	sp|Q4V328-3|GRAP1_HUMAN	0.83	0.75	2.47	2.12	8.57	1	4/191	2	2	GRIP1 associated protein 1
293T_HA-HERC2_F1_Exp3	CBWD2	150472	sp|Q8IUF1|CBWD2_HUMAN	0.91	0.82	2.42	2.08	10.21	1	5/191	3	2	COBW domain containing 2
293T_HA-HERC2_F1_Exp3	KIF20A	10112	sp|O95235|KI20A_HUMAN	0.91	0.82	2.42	2.08	4.08	1	5/191	3	2	kinesin family member 20A
293T_HA-HERC2_F1_Exp3	CEP170	9859	sp|Q5SW79-2|CE170_HUMAN	0.62	0.74	1.41	2.07	0.3	1.71	7/191	2	2	centrosomal protein 170kDa
293T_HA-HERC2_F1_Exp3	TUBAL3	79861	sp|A6NHL2-2|TBAL3_HUMAN	0.95	0.87	2.33	2	4.64	1	6/191	4	2	tubulin, alpha-like 3
293T_HA-HERC2_F1_Exp3	FAM69B	138311	sp|Q5VUD6-2|FA69B_HUMAN	0.67	0.61	2.33	2	8.17	1	3/191	1	2	family with sequence similarity 69, member B
293T_HA-HERC2_F1_Exp3	TYMS	7298	sp|P04818|TYSY_HUMAN	0.67	0.61	2.33	2	8.17	1	3/191	1	2	thymidylate synthetase
293T_HA-HERC2_F1_Exp3	FAM96B	51647	sp|Q9Y3D0|MIP18_HUMAN	0.67	0.61	2.33	2	8.17	1	3/191	1	2	family with sequence similarity 96, member B
293T_HA-HERC2_F1_Exp3	TYSND1	219743	sp|Q2T9J0-2|TYSD1_HUMAN	0.62	0.72	1.41	1.96	1.83	1.62	7/191	2	2	trypsin domain containing 1
293T_HA-HERC2_F1_Exp3	CDIPT	10423	sp|O14735|CDIPT_HUMAN	1.01	0.92	2.14	1.84	10.76	1	8/191	6	2	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
293T_HA-HERC2_F1_Exp3	FDFT1	2222	sp|P37268|FDFT_HUMAN	1.11	1.01	2.1	1.8	10.29	1	10/191	9	2	farnesyl-diphosphate farnesyltransferase 1
293T_HA-HERC2_F1_Exp3	KTN1	3895	sp|Q86UP2-2|KTN1_HUMAN	0.44	0.58	1	1.77	0.44	2.07	7/191	1	2	kinectin 1 (kinesin receptor)
293T_HA-HERC2_F1_Exp3	HLA-A	3105	sp|P04439|1A03_HUMAN	0.74	0.67	1.98	1.7	5.39	1	5/191	2	2	major histocompatibility complex, class I, A
293T_HA-HERC2_F1_Exp3	UBE2O	63893	sp|Q9C0C9|UBE2O_HUMAN	0.55	0.66	1.1	1.62	1.3	1.72	9/191	2	2	ubiquitin-conjugating enzyme E2O
293T_HA-HERC2_F1_Exp3	SLC27A2	11001	sp|O14975|S27A2_HUMAN	0.58	0.53	1.75	1.5	5.11	1	4/191	1	2	solute carrier family 27 (fatty acid transporter), member 2
293T_HA-HERC2_F1_Exp3	HOOK3	84376	sp|Q86VS8|HOOK3_HUMAN	0.58	0.53	1.75	1.5	7	1	4/191	1	2	hook homolog 3 (Drosophila)
293T_HA-HERC2_F1_Exp3	TUBB1	81027	sp|Q9H4B7|TBB1_HUMAN	1.01	0.92	1.75	1.5	2.31	1	12/191	9	2	tubulin, beta 1
293T_HA-HERC2_F1_Exp3	SLC27A4	10999	sp|Q6P1M0|S27A4_HUMAN	0.58	0.53	1.75	1.5	0.91	1	4/191	1	2	solute carrier family 27 (fatty acid transporter), member 4
293T_HA-HERC2_F1_Exp3	ATXN10	25814	sp|Q9UBB4|ATX10_HUMAN	0.58	0.53	1.75	1.5	7	1	4/191	1	2	ataxin 10
293T_HA-HERC2_F1_Exp3	CPT1A	1374	sp|P50416-2|CPT1A_HUMAN	0.58	0.53	1.75	1.5	7	1	4/191	1	2	carnitine palmitoyltransferase 1A (liver)
293T_HA-HERC2_F1_Exp3	CHCHD3	54927	sp|Q9NX63|CHCH3_HUMAN	0.58	0.53	1.75	1.5	7	1	4/191	1	2	coiled-coil-helix-coiled-coil-helix domain containing 3
293T_HA-HERC2_F1_Exp3	NUDC	10726	sp|Q9Y266|NUDC_HUMAN	0.52	0.67	0.81	1.39	0.66	2	15/191	3	2	nuclear distribution gene C homolog (A. nidulans)
293T_HA-HERC2_F1_Exp3	GLUD1	2746	sp|P00367|DHE3_HUMAN	0.86	0.79	1.56	1.34	8.13	1	11/191	6	2	glutamate dehydrogenase 1
293T_HA-HERC2_F1_Exp3	SLC25A12	8604	sp|O75746|CMC1_HUMAN	0.86	0.79	1.56	1.34	7.8	1	11/191	6	2	solute carrier family 25 (mitochondrial carrier, Aralar), member 12
293T_HA-HERC2_F1_Exp3	PSMD1	5707	sp|Q99460-2|PSMD1_HUMAN	0.45	0.72	0.46	1.24	0.14	3.13	34/191	5	2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1
293T_HA-HERC2_F1_Exp3	CRKL	1399	sp|P46109|CRKL_HUMAN	0.83	0.75	1.43	1.23	9.8	1	12/191	6	2	v-crk sarcoma virus CT10 oncogene homolog (avian)-like
293T_HA-HERC2_F1_Exp3	ACSL3	2181	sp|O95573|ACSL3_HUMAN	0.74	0.67	1.4	1.2	7.32	1	10/191	4	2	acyl-CoA synthetase long-chain family member 3
293T_HA-HERC2_F1_Exp3	HEATR1	55127	sp|Q9H583|HEAT1_HUMAN	0.52	0.48	1.4	1.2	6.06	1	5/191	1	2	HEAT repeat containing 1
293T_HA-HERC2_F1_Exp3	ESPL1	9700	sp|Q14674|ESPL1_HUMAN	0.52	0.48	1.4	1.2	6.06	1	5/191	1	2	extra spindle pole bodies homolog 1 (S. cerevisiae)
293T_HA-HERC2_F1_Exp3	GTF3C2	2976	sp|Q8WUA4-2|TF3C2_HUMAN	0.52	0.48	1.4	1.2	4	1	5/191	1	2	general transcription factor IIIC, polypeptide 2, beta 110kDa
293T_HA-HERC2_F1_Exp3	SFXN4	119559	sp|Q6P4A7-3|SFXN4_HUMAN	0.67	0.61	1.35	1.15	5.71	1	9/191	3	2	sideroflexin 4
293T_HA-HERC2_F1_Exp3	HLA-C	3107	sp|Q29865|1C18_HUMAN	0.67	0.61	1.35	1.15	4.14	1	9/191	3	2	major histocompatibility complex, class I, C
293T_HA-HERC2_F1_Exp3	TBK1	29110	sp|Q9UHD2|TBK1_HUMAN	0.44	0.45	1	1.1	0.6	1.28	7/191	1	2	TANK-binding kinase 1
293T_HA-HERC2_F1_Exp3	AUP1	550	sp|Q9Y679-2|AUP1_HUMAN	0.58	0.53	1.24	1.06	5.08	1	8/191	2	2	ancient ubiquitous protein 1
293T_HA-HERC2_F1_Exp3	TMEM165	55858	sp|Q9HC07|TM165_HUMAN	0.64	0.58	1.21	1.04	6.93	1	10/191	3	2	transmembrane protein 165
293T_HA-HERC2_F1_Exp3	PSMD3	5709	sp|O43242|PSMD3_HUMAN	0.44	0.69	0.4	1.02	0.15	2.98	43/191	6	2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3
293T_HA-HERC2_F1_Exp3	PSMD11	5717	sp|O00231|PSD11_HUMAN	0.4	0.58	0.47	1.02	0	2.55	26/191	3	2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11
293T_HA-HERC2_F1_Exp3	XPO5	57510	sp|Q9HAV4|XPO5_HUMAN	0.48	0.43	1.17	1	4.57	1	6/191	1	2	exportin 5
293T_HA-HERC2_F1_Exp3	C18orf55	29090	sp|Q9BVV7|TI21L_HUMAN	0.48	0.43	1.17	1	4.57	1	6/191	1	2	chromosome 18 open reading frame 55
293T_HA-HERC2_F1_Exp3	CNN3	1266	sp|Q15417|CNN3_HUMAN	0.48	0.43	1.17	1	5.71	1	6/191	1	2	calponin 3, acidic
293T_HA-HERC2_F1_Exp3	VPS4B	9525	sp|O75351|VPS4B_HUMAN	0.48	0.43	1.17	1	4.57	1	6/191	1	2	vacuolar protein sorting 4 homolog B (S. cerevisiae)
293T_HA-HERC2_F1_Exp3	SLC25A10	1468	sp|Q9UBX3-2|DIC_HUMAN	0.48	0.43	1.17	1	2.71	1	6/191	1	2	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10
