GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In
5439	POLR2J	DNA-directed RNA polymerase II subunit RPB11-a	1	3.18	2.67	2/172	2
5438	POLR2I	DNA-directed RNA polymerase II subunit RPB9	1	3.18	2.67	2/172	2
23089	PEG10	Isoform RF1 of Retrotransposon-derived protein PEG10	1	3.18	2.67	2/172	2
5433	POLR2D	DNA-directed RNA polymerase II subunit RPB4	1	3.18	2.67	2/172	2
27127	SMC1B	Isoform 2 of Structural maintenance of chromosomes protein 1B	1	3.18	2.67	2/172	2
5440	POLR2K	"DNA-directed RNA polymerases I, II, and III subunit RPABC4"	1	3.18	2.67	2/172	2
80184	CEP290	Centrosomal protein of 290 kDa	2	3.00	2.52	3/172	2
5783	PTPN13	Isoform 2 of Tyrosine-protein phosphatase non-receptor type 13	2	3.00	2.52	3/172	2
91754	NEK9	Serine/threonine-protein kinase Nek9	7	1.87	2.33	9/172	2
80311	KLHL15	Kelch-like protein 15	3	2.76	2.32	4/172	2
9748	SLK	Isoform 2 of STE20-like serine/threonine-protein kinase	4	1.59	2.17	8/172	2
28988	DBNL	Isoform 2 of Drebrin-like protein	10	1.83	2.17	11/172	2
9738	CP110	Isoform 2 of Centrosomal protein CP110	10	1.55	1.92	13/172	2
79576	NKAP	NF-kappa-B-activating protein	2	2.25	1.89	4/172	2
8260	NAA10	"N-alpha-acetyltransferase 10, NatA catalytic subunit"	3	2.20	1.85	5/172	2
26273	FBXO3	Isoform 2 of F-box only protein 3	1	2.12	1.78	3/172	2
51654	CDK5RAP1	Isoform 2 of CDK5 regulatory subunit-associated protein 1	1	2.12	1.78	3/172	2
5430	POLR2A	DNA-directed RNA polymerase II subunit RPB1	49	0.84	1.62	53/172	2
808	CALM3	Calmodulin	6	1.04	1.54	15/172	2
23	ABCF1	Isoform 2 of ATP-binding cassette sub-family F member 1	2	1.80	1.51	5/172	2
8663	EIF3C	Eukaryotic translation initiation factor 3 subunit C	6	0.56	1.35	28/172	2
823	CAPN1	Calpain-1 catalytic subunit	1	1.59	1.34	4/172	2
4507	MTAP	S-methyl-5'-thioadenosine phosphorylase	3	1.57	1.32	7/172	2
7453	WARS	"Isoform 2 of Tryptophanyl-tRNA synthetase, cytoplasmic"	13	1.28	1.15	18/172	2
5432	POLR2C	DNA-directed RNA polymerase II subunit RPB3	7	1.29	1.15	13/172	2
10213	PSMD14	26S proteasome non-ATPase regulatory subunit 14	2	0.60	1.12	15/172	2
55210	ATAD3A	Isoform 2 of ATPase family AAA domain-containing protein 3A	26	1.16	1.10	28/172	2
2746	GLUD1	"Glutamate dehydrogenase 1, mitochondrial"	2	1.29	1.08	7/172	2
10920	COPS8	COP9 signalosome complex subunit 8	2	0.90	1.08	10/172	2
5352	PLOD2	"Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	2	1.29	1.08	7/172	2
8533	COPS3	COP9 signalosome complex subunit 3	1	0.64	1.07	10/172	2
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	5	0.45	1.04	32/172	2
5905	RANGAP1	Ran GTPase-activating protein 1	3	1.22	1.03	9/172	2
5436	POLR2G	DNA-directed RNA polymerase II subunit RPB7	3	1.22	1.03	9/172	2
8239	USP9X	Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X	6	0.58	1.02	27/172	2
51520	LARS	"Leucyl-tRNA synthetase, cytoplasmic"	15	1.12	1.01	22/172	2
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	7	0.40	1.00	42/172	2
7965	AIMP2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	1	1.06	0.89	6/172	2
55699	IARS2	"Isoleucyl-tRNA synthetase, mitochondrial"	4	1.06	0.89	12/172	2
9255	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	4	1.06	0.89	12/172	2
