GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In	Isoform	Active Form
3514	IGKC	Ig kappa chain C region	4	2.83	2.31	2/65	2	III	N
28834	IGLC7	Ig lambda-7 chain C region	2	1.33	1.09	3/65	2	III	N
3860	KRT13	"Keratin, type I cytoskeletal 13"	12	1.40	1.14	7/65	2	III	N
3851	KRT4	"Keratin, type II cytoskeletal 4"	14	2.12	1.73	5/65	2	III	N
319101	KRT73	"Isoform 2 of Keratin, type II cytoskeletal 73"	2	2.00	1.63	2/65	2	III	N
3895	KTN1	Isoform 2 of Kinectin	1	0.71	1.11	4/65	2	I	Y
3933	LCN1	Lipocalin-1	2	4.00	3.27	1/65	2	I	Y
3933	LCN1	Lipocalin-1	4	5.66	4.62	1/65	2	III	N
9663	LPIN2	Phosphatidate phosphatase LPIN2	2	4.00	3.27	1/65	2	I	N
4057	LTF	Lactotransferrin	5	6.32	5.16	1/65	2	III	N
23162	MAPK8IP3	C-Jun-amino-terminal kinase-interacting protein 3	2	1.00	0.82	4/65	2	I	Y
4175	MCM6	DNA replication licensing factor MCM6	5	3.16	2.61	2/65	2	III	Y
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	9	2.12	1.73	4/65	2	I	Y
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	5	1.58	1.39	4/65	2	I	N
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	15	2.74	2.24	4/65	2	II	N
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	7	1.87	1.54	4/65	2	III	Y
728378	POTEF	POTE ankyrin domain family member F	4	1.41	1.17	4/65	2	III	Y
5695	PSMB7	Proteasome subunit beta type-7	14	1.51	1.23	7/65	2	I	Y
5695	PSMB7	Proteasome subunit beta type-7	19	1.76	1.44	7/65	2	I	N
5695	PSMB7	Proteasome subunit beta type-7	9	1.21	1.00	7/65	2	III	Y
5696	PSMB8	Isoform 2 of Proteasome subunit beta type-8	2	1.00	0.82	4/65	2	I	Y
5696	PSMB8	Isoform 2 of Proteasome subunit beta type-8	2	1.00	0.82	4/65	2	I	N
5700	PSMC1	26S protease regulatory subunit 4	37	0.69	1.12	25/65	2	I	Y
5700	PSMC1	26S protease regulatory subunit 4	29	0.61	1.00	25/65	2	I	N
5701	PSMC2	26S protease regulatory subunit 7	50	0.87	1.32	23/65	2	I	Y
5701	PSMC2	26S protease regulatory subunit 7	36	0.74	1.12	23/65	2	I	N
5702	PSMC3	26S protease regulatory subunit 6A	57	0.76	1.29	28/65	2	I	Y
5702	PSMC3	26S protease regulatory subunit 6A	45	0.68	1.14	28/65	2	I	N
5704	PSMC4	26S protease regulatory subunit 6B	37	1.23	1.50	14/65	2	I	Y
5704	PSMC4	26S protease regulatory subunit 6B	22	0.95	1.18	14/65	2	I	N
5705	PSMC5	26S protease regulatory subunit 8	54	0.83	1.37	25/65	2	I	Y
5705	PSMC5	26S protease regulatory subunit 8	42	0.73	1.22	25/65	2	I	N
5707	PSMD1	26S proteasome non-ATPase regulatory subunit 1	54	0.94	1.58	22/65	2	I	Y
5707	PSMD1	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1	49	0.90	1.51	22/65	2	I	N
5707	PSMD1	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1	23	0.62	1.10	22/65	2	III	Y
5716	PSMD10	26S proteasome non-ATPase regulatory subunit 10	5	1.58	1.29	4/65	2	I	Y
5716	PSMD10	26S proteasome non-ATPase regulatory subunit 10	2	1.00	0.82	4/65	2	I	N
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	40	0.89	1.29	20/65	2	I	Y
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	44	0.94	1.36	20/65	2	I	N
5718	PSMD12	26S proteasome non-ATPase regulatory subunit 12	38	0.83	1.27	21/65	2	I	Y
5718	PSMD12	26S proteasome non-ATPase regulatory subunit 12	37	0.82	1.26	21/65	2	I	N
5719	PSMD13	26S proteasome non-ATPase regulatory subunit 13	23	0.85	1.02	16/65	2	I	Y
5719	PSMD13	26S proteasome non-ATPase regulatory subunit 13	26	0.90	1.09	16/65	2	I	N
10213	PSMD14	26S proteasome non-ATPase regulatory subunit 14	12	1.40	1.14	7/65	2	I	Y
10213	PSMD14	26S proteasome non-ATPase regulatory subunit 14	9	1.21	0.99	7/65	2	I	N
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	67	0.97	1.58	24/65	2	I	Y
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	54	0.87	1.44	24/65	2	I	N
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	46	0.74	1.23	26/65	2	I	Y
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	40	0.69	1.16	26/65	2	I	N
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	21	1.62	1.55	8/65	2	I	Y
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	17	1.46	1.40	8/65	2	I	N
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	8	1.00	1.05	8/65	2	II	N
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	7	0.94	1.00	8/65	2	III	Y
5711	PSMD5	26S proteasome non-ATPase regulatory subunit 5	5	1.27	1.03	5/65	2	I	N
9861	PSMD6	26S proteasome non-ATPase regulatory subunit 6	35	2.09	1.74	8/65	2	I	Y
9861	PSMD6	26S proteasome non-ATPase regulatory subunit 6	19	1.54	1.35	8/65	2	I	N
5714	PSMD8	26S proteasome non-ATPase regulatory subunit 8	9	1.06	0.87	8/65	2	I	Y
5834	PYGB	"Glycogen phosphorylase, brain form"	1	2.83	2.31	1/65	2	II	N
5887	RAD23B	UV excision repair protein RAD23 homolog B	2	1.33	1.09	3/65	2	I	Y
22895	RPH3A	Isoform 2 of Rabphilin-3A	3	4.90	4.00	1/65	2	I	Y
55346	TCP11L1	T-complex protein 11-like protein 1	3	1.63	1.33	3/65	2	I	Y
7057	THBS1	Thrombospondin-1	8	1.14	1.00	7/65	2	III	Y
79613	TMCO7	Transmembrane and coiled-coil domain-containing protein 7	2	4.00	3.27	1/65	2	II	N
79613	TMCO7	Transmembrane and coiled-coil domain-containing protein 7	1	2.83	2.33	1/65	2	III	Y
7337	UBE3A	Isoform I of Ubiquitin-protein ligase E3A	137	2.76	3.00	12/65	2	I	Y
7337	UBE3A	Isoform I of Ubiquitin-protein ligase E3A	190	3.25	3.61	12/65	2	I	N
7337	UBE3A	Isoform III of Ubiquitin-protein ligase E3A	95	2.30	2.44	12/65	2	II	Y
7337	UBE3A	Isoform III of Ubiquitin-protein ligase E3A	377	4.58	5.16	12/65	2	II	N
7337	UBE3A	Isoform III of Ubiquitin-protein ligase E3A	329	4.28	4.87	12/65	2	III	Y
7337	UBE3A	Isoform III of Ubiquitin-protein ligase E3A	156	2.95	3.22	12/65	2	III	N
51377	UCHL5	Ubiquitin carboxyl-terminal hydrolase isozyme L5	11	1.56	1.29	6/65	2	I	Y
51377	UCHL5	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5	9	1.41	1.20	6/65	2	I	N
9097	USP14	Ubiquitin carboxyl-terminal hydrolase 14	42	9.17	7.48	2/65	2	II	Y
9097	USP14	Ubiquitin carboxyl-terminal hydrolase 14	9	4.24	3.50	2/65	2	II	N
9097	USP14	Ubiquitin carboxyl-terminal hydrolase 14	9	4.24	3.50	2/65	2	III	N
51096	UTP18	U3 small nucleolar RNA-associated protein 18 homolog	1	1.41	1.15	2/65	2	I	Y
7408	VASP	Vasodilator-stimulated phosphoprotein	1	1.41	1.15	2/65	2	I	Y
7408	VASP	Vasodilator-stimulated phosphoprotein	2	2.00	1.63	2/65	2	II	N
54904	WHSC1L1	Isoform 2 of Histone-lysine N-methyltransferase NSD3	3	1.63	1.71	3/65	2	III	Y
7763	ZFAND5	AN1-type zinc finger protein 5	4	2.83	2.31	2/65	2	I	Y
54469	ZFAND6	Isoform 2 of AN1-type zinc finger protein 6	1	1.41	1.15	2/65	2	I	Y
